NMec = 98495
T = 30
P = 6
Profits ignored
Solution time = 1.570e+00
Programing Tasks = 19
Terminal Cases = 261
Task date  Profit    P
  0   8     1        0   
  0   12    1        1   
  2   13    1        2   
  2   48    1        3   
  3   15    1        4   
  4   14    1        5   
  8   15    1        -1  
  8   16    1        -1  
  8   28    1        -1  
  9   15    1        0   
  10  39    1        -1  
  12  25    1        -1  
  13  25    1        1   
  13  38    1        -1  
  14  31    1        2   
  15  23    1        5   
  18  40    1        0   
  19  28    1        4   
  19  39    1        -1  
  20  33    1        -1  
  24  29    1        5   
  25  46    1        -1  
  26  41    1        1   
  28  41    1        -1  
  28  47    1        -1  
  30  44    1        4   
  31  41    1        5   
  32  35    1        2   
  33  38    1        -1  
  34  41    1        -1  
End
