NMec = 98495
T = 40
P = 6
Profits ignored
Solution time = 5.404e+01
Programing Tasks = 19
Terminal Cases = 75720
Task date  Profit    P
  0   55    1        0   
  1   30    1        1   
  2   25    1        2   
  5   45    1        3   
  5   53    1        4   
  5   58    1        5   
  7   66    1        -1  
  9   30    1        -1  
  13  31    1        -1  
  14  36    1        -1  
  15  21    1        -1  
  17  30    1        -1  
  17  55    1        -1  
  20  33    1        -1  
  21  23    1        -1  
  23  51    1        -1  
  25  32    1        -1  
  25  38    1        -1  
  26  38    1        2   
  28  38    1        -1  
  29  39    1        -1  
  29  44    1        -1  
  29  48    1        -1  
  32  44    1        1   
  33  45    1        -1  
  33  59    1        -1  
  35  41    1        -1  
  35  43    1        -1  
  36  50    1        -1  
  37  59    1        -1  
  39  66    1        2   
  40  52    1        -1  
  41  49    1        -1  
  41  54    1        -1  
  41  60    1        -1  
  42  44    1        -1  
  43  55    1        -1  
  45  58    1        1   
  46  52    1        3   
  51  57    1        -1  
End
