NMec = 98495
T = 29
P = 3
Profits ignored
Solution time = 1.044e-01
Programing Tasks = 16
Terminal Cases = 2209
Task date  Profit    P
  2   26    1        0   
  4   31    1        1   
  4   74    1        2   
  5   14    1        -1  
  6   22    1        -1  
  16  17    1        -1  
  16  29    1        -1  
  20  37    1        -1  
  23  36    1        -1  
  31  40    1        0   
  32  38    1        1   
  34  41    1        -1  
  34  48    1        -1  
  36  49    1        -1  
  39  49    1        1   
  40  62    1        -1  
  41  65    1        0   
  42  70    1        -1  
  44  56    1        -1  
  45  52    1        -1  
  45  55    1        -1  
  46  53    1        -1  
  53  80    1        1   
  58  69    1        -1  
  61  68    1        -1  
  68  80    1        0   
  69  78    1        -1  
  77  82    1        2   
  86  95    1        0   
End
