NMec = 98495
T = 35
P = 3
Profits ignored
Solution time = 6.669e-01
Programing Tasks = 17
Terminal Cases = 840
Task date  Profit    P
  4   13    1        0   
  6   28    1        1   
  6   79    1        2   
  7   24    1        -1  
  8   116   1        -1  
  10  23    1        -1  
  10  25    1        -1  
  11  36    1        -1  
  13  21    1        -1  
  15  40    1        0   
  15  111   1        -1  
  18  69    1        -1  
  20  31    1        -1  
  25  32    1        -1  
  28  36    1        -1  
  29  46    1        1   
  33  51    1        -1  
  35  61    1        -1  
  42  54    1        0   
  44  60    1        -1  
  48  51    1        1   
  48  80    1        -1  
  51  59    1        -1  
  51  74    1        -1  
  55  80    1        0   
  56  69    1        1   
  58  73    1        -1  
  59  74    1        -1  
  70  83    1        1   
  75  84    1        -1  
  77  87    1        -1  
  80  94    1        2   
  83  91    1        0   
  86  91    1        1   
  91  100   1        -1  
End
