NMec = 98495
T = 27
P = 7
Profits ignored
Solution time = 1.402e-01
Programing Tasks = 15
Terminal Cases = 8658
Task date  Profit    P
  2   12    1        0   
  2   17    1        1   
  2   21    1        2   
  3   18    1        3   
  3   27    1        4   
  4   18    1        5   
  4   22    1        6   
  5   25    1        -1  
  6   18    1        -1  
  6   27    1        -1  
  7   13    1        -1  
  7   24    1        -1  
  8   17    1        -1  
  9   21    1        -1  
  10  17    1        -1  
  10  30    1        -1  
  13  21    1        0   
  13  27    1        -1  
  16  25    1        -1  
  17  23    1        -1  
  17  32    1        -1  
  18  35    1        1   
  19  27    1        3   
  22  34    1        0   
  24  38    1        2   
  25  37    1        5   
  30  38    1        3   
End
