NMec = 98495
T = 37
P = 1
Profits ignored
Solution time = 1.769e-01
Programing Tasks = 15
Terminal Cases = 6144
Task date  Profit    P
  1   352   1        0   
  14  36    1        -1  
  26  36    1        -1  
  26  47    1        -1  
  35  46    1        -1  
  38  39    1        -1  
  43  56    1        -1  
  45  60    1        -1  
  46  51    1        -1  
  53  63    1        -1  
  71  92    1        -1  
  102 116   1        -1  
  108 119   1        -1  
  126 139   1        -1  
  130 136   1        -1  
  131 146   1        -1  
  131 149   1        -1  
  150 173   1        -1  
  151 168   1        -1  
  166 188   1        -1  
  173 198   1        -1  
  195 204   1        -1  
  207 210   1        -1  
  216 229   1        -1  
  220 239   1        -1  
  225 237   1        -1  
  227 232   1        -1  
  258 264   1        -1  
  263 271   1        -1  
  284 290   1        -1  
  295 310   1        -1  
  296 318   1        -1  
  303 319   1        -1  
  309 328   1        -1  
  341 352   1        -1  
  344 355   1        -1  
  348 357   1        -1  
End
