NMec = 98495
T = 27
P = 1
Profits ignored
Solution time = 2.724e-03
Programing Tasks = 14
Terminal Cases = 96
Task date  Profit    P
  7   21    1        -1  
  17  28    1        0   
  40  51    1        0   
  64  88    1        -1  
  73  89    1        -1  
  77  98    1        -1  
  77  215   1        -1  
  85  95    1        0   
  86  102   1        -1  
  102 116   1        0   
  116 132   1        -1  
  119 127   1        -1  
  127 134   1        0   
  127 140   1        -1  
  131 145   1        -1  
  136 145   1        0   
  149 157   1        -1  
  150 175   1        0   
  186 189   1        0   
  195 200   1        0   
  206 214   1        0   
  216 229   1        -1  
  219 235   1        -1  
  221 228   1        0   
  233 240   1        0   
  242 248   1        0   
  253 269   1        0   
End
