NMec = 98495
T = 33
P = 6
Profits ignored
Solution time = 1.729e+00
Programing Tasks = 18
Terminal Cases = 91
Task date  Profit    P
  0   19    1        0   
  0   31    1        -1  
  1   20    1        -1  
  1   50    1        -1  
  2   14    1        1   
  3   20    1        2   
  9   35    1        -1  
  11  20    1        3   
  13  26    1        4   
  13  36    1        -1  
  15  34    1        -1  
  16  32    1        -1  
  16  40    1        -1  
  17  25    1        1   
  17  42    1        -1  
  17  50    1        -1  
  19  29    1        5   
  19  43    1        -1  
  20  33    1        0   
  24  36    1        2   
  24  38    1        3   
  24  48    1        -1  
  26  41    1        -1  
  28  41    1        1   
  29  44    1        -1  
  29  47    1        -1  
  31  42    1        4   
  31  47    1        5   
  35  47    1        0   
  41  51    1        2   
  41  53    1        3   
  42  53    1        1   
  50  54    1        0   
End
