NMec = 98495
T = 29
P = 5
Profits ignored
Solution time = 3.768e-01
Programing Tasks = 16
Terminal Cases = 44227
Task date  Profit    P
  0   14    1        0   
  2   29    1        -1  
  6   14    1        1   
  6   16    1        2   
  12  31    1        -1  
  17  22    1        0   
  17  32    1        -1  
  17  40    1        -1  
  18  28    1        -1  
  21  31    1        1   
  22  40    1        -1  
  24  31    1        0   
  26  28    1        2   
  26  35    1        3   
  26  35    1        4   
  27  47    1        -1  
  29  46    1        -1  
  31  39    1        -1  
  33  39    1        -1  
  34  48    1        -1  
  35  39    1        -1  
  35  49    1        -1  
  36  45    1        0   
  36  51    1        1   
  38  40    1        2   
  38  51    1        3   
  38  57    1        4   
  47  54    1        0   
  47  57    1        2   
End
