NMec = 98495
T = 31
P = 3
Profits ignored
Solution time = 4.654e-01
Programing Tasks = 17
Terminal Cases = 7228
Task date  Profit    P
  2   11    1        0   
  6   14    1        1   
  11  20    1        2   
  11  23    1        -1  
  13  21    1        0   
  15  18    1        1   
  16  26    1        -1  
  17  26    1        -1  
  17  45    1        -1  
  21  34    1        1   
  21  36    1        2   
  22  46    1        0   
  23  36    1        -1  
  23  49    1        -1  
  27  40    1        -1  
  31  42    1        -1  
  33  43    1        -1  
  34  40    1        -1  
  36  46    1        1   
  41  56    1        2   
  43  48    1        -1  
  46  54    1        -1  
  47  93    1        0   
  50  65    1        1   
  54  74    1        -1  
  62  69    1        2   
  63  72    1        -1  
  65  87    1        -1  
  91  101   1        1   
  93  99    1        2   
  96  99    1        0   
End
