NMec = 98495
T = 28
P = 8
Profits ignored
Solution time = 4.655e-01
Programing Tasks = 17
Terminal Cases = 3009
Task date  Profit    P
  0   8     1        0   
  0   12    1        1   
  1   20    1        2   
  1   21    1        3   
  1   21    1        4   
  3   16    1        5   
  3   24    1        6   
  4   12    1        7   
  4   23    1        -1  
  5   13    1        -1  
  6   12    1        -1  
  6   19    1        -1  
  7   25    1        -1  
  7   31    1        -1  
  8   22    1        -1  
  9   25    1        0   
  10  19    1        -1  
  12  19    1        -1  
  14  25    1        1   
  14  28    1        7   
  15  23    1        -1  
  15  34    1        -1  
  18  29    1        5   
  18  29    1        -1  
  19  25    1        -1  
  22  25    1        2   
  26  31    1        0   
  27  30    1        1   
End
