NMec = 98495
T = 31
P = 1
Profits ignored
Solution time = 7.010e-03
Programing Tasks = 14
Terminal Cases = 48
Task date  Profit    P
  8   28    1        0   
  10  16    1        -1  
  11  302   1        -1  
  24  32    1        -1  
  33  44    1        0   
  46  71    1        0   
  47  61    1        -1  
  64  85    1        -1  
  74  88    1        0   
  88  97    1        -1  
  97  104   1        0   
  111 122   1        0   
  120 136   1        -1  
  120 139   1        -1  
  128 142   1        0   
  133 157   1        -1  
  137 154   1        -1  
  146 158   1        0   
  167 267   1        0   
  171 190   1        -1  
  181 183   1        -1  
  182 183   1        -1  
  196 199   1        -1  
  242 256   1        -1  
  242 257   1        -1  
  242 258   1        -1  
  244 269   1        -1  
  251 258   1        -1  
  254 282   1        -1  
  264 276   1        -1  
  300 308   1        0   
End
