NMec = 98495
T = 33
P = 1
Profits ignored
Solution time = 1.897e-02
Programing Tasks = 14
Terminal Cases = 432
Task date  Profit    P
  0   326   1        -1  
  18  30    1        0   
  39  48    1        0   
  48  68    1        -1  
  53  62    1        0   
  66  83    1        -1  
  69  95    1        -1  
  75  94    1        0   
  98  103   1        0   
  110 283   1        -1  
  127 130   1        -1  
  127 139   1        0   
  136 149   1        -1  
  142 164   1        -1  
  147 152   1        0   
  149 156   1        -1  
  152 178   1        -1  
  154 164   1        0   
  162 171   1        -1  
  165 174   1        0   
  180 200   1        -1  
  189 201   1        0   
  217 229   1        -1  
  222 223   1        -1  
  222 235   1        -1  
  223 240   1        0   
  253 271   1        -1  
  254 264   1        -1  
  261 272   1        0   
  264 289   1        -1  
  274 301   1        -1  
  279 292   1        0   
  317 328   1        0   
End
