NMec = 98495
T = 39
P = 7
Profits ignored
Solution time = 1.175e+02
Programing Tasks = 22
Terminal Cases = 487
Task date  Profit    P
  1   50    1        -1  
  2   13    1        0   
  2   52    1        -1  
  2   54    1        -1  
  4   6     1        1   
  5   12    1        2   
  10  22    1        1   
  11  50    1        -1  
  14  27    1        -1  
  15  26    1        -1  
  16  23    1        0   
  16  26    1        -1  
  16  35    1        -1  
  17  21    1        2   
  17  55    1        -1  
  19  34    1        -1  
  19  34    1        3   
  20  23    1        4   
  21  24    1        5   
  21  37    1        6   
  21  42    1        -1  
  22  27    1        2   
  22  42    1        -1  
  22  48    1        -1  
  23  31    1        1   
  24  43    1        -1  
  25  37    1        0   
  26  31    1        4   
  26  37    1        5   
  27  51    1        -1  
  27  55    1        -1  
  29  52    1        -1  
  31  47    1        2   
  32  44    1        1   
  35  54    1        3   
  37  52    1        4   
  40  50    1        0   
  41  52    1        5   
  42  49    1        6   
End
