NMec = 98495
T = 30
P = 4
Profits ignored
Solution time = 1.794e-01
Programing Tasks = 15
Terminal Cases = 5070
Task date  Profit    P
  1   10    1        0   
  2   72    1        -1  
  5   18    1        1   
  10  41    1        -1  
  11  20    1        0   
  16  30    1        -1  
  16  33    1        -1  
  16  73    1        -1  
  19  30    1        1   
  24  37    1        -1  
  24  71    1        -1  
  26  36    1        -1  
  26  57    1        -1  
  27  34    1        0   
  27  35    1        2   
  28  49    1        -1  
  30  46    1        3   
  34  54    1        1   
  39  48    1        0   
  45  50    1        2   
  46  61    1        -1  
  49  52    1        0   
  49  73    1        -1  
  50  73    1        -1  
  50  74    1        -1  
  52  65    1        -1  
  53  66    1        0   
  54  63    1        2   
  56  67    1        1   
  60  74    1        3   
End
