NMec = 98491
T = 30
P = 1
Profits ignored
Solution time = 1.813e-02
Programing Tasks = 14
Terminal Cases = 1056
Task date  Profit    P
  0   22    1        0   
  8   21    1        -1  
  15  32    1        -1  
  21  282   1        -1  
  28  30    1        0   
  31  43    1        0   
  32  52    1        -1  
  55  221   1        0   
  80  106   1        -1  
  95  108   1        -1  
  123 130   1        -1  
  131 135   1        -1  
  131 146   1        -1  
  145 150   1        -1  
  148 153   1        -1  
  149 153   1        -1  
  153 171   1        -1  
  158 161   1        -1  
  167 185   1        -1  
  176 186   1        -1  
  198 200   1        -1  
  213 230   1        -1  
  213 234   1        -1  
  220 244   1        -1  
  223 234   1        0   
  235 250   1        0   
  252 261   1        0   
  256 265   1        -1  
  272 277   1        0   
  273 289   1        -1  
End
