NMec = 98491
T = 39
P = 1
Profits ignored
Solution time = 8.918e-02
Programing Tasks = 14
Terminal Cases = 1440
Task date  Profit    P
  0   389   1        0   
  4   333   1        -1  
  7   31    1        -1  
  9   13    1        -1  
  26  386   1        -1  
  34  56    1        -1  
  36  39    1        -1  
  75  225   1        -1  
  77  89    1        -1  
  77  93    1        -1  
  79  87    1        -1  
  94  165   1        -1  
  102 108   1        -1  
  106 120   1        -1  
  116 302   1        -1  
  136 149   1        -1  
  138 151   1        -1  
  142 153   1        -1  
  150 159   1        -1  
  173 178   1        -1  
  196 211   1        -1  
  198 209   1        -1  
  198 217   1        -1  
  212 238   1        -1  
  219 282   1        -1  
  227 238   1        -1  
  235 244   1        -1  
  235 248   1        -1  
  237 246   1        -1  
  241 247   1        -1  
  251 265   1        -1  
  257 276   1        -1  
  261 272   1        -1  
  291 309   1        -1  
  292 315   1        -1  
  293 307   1        -1  
  306 318   1        -1  
  322 339   1        -1  
  375 388   1        -1  
End
