NMec = 98491
T = 28
P = 4
Profits ignored
Solution time = 2.679e-01
Programing Tasks = 17
Terminal Cases = 3165
Task date  Profit    P
  1   19    1        0   
  5   6     1        1   
  5   16    1        2   
  6   28    1        3   
  6   43    1        -1  
  12  27    1        1   
  13  28    1        -1  
  15  26    1        -1  
  17  32    1        2   
  20  28    1        0   
  20  38    1        -1  
  20  41    1        -1  
  21  27    1        -1  
  24  32    1        -1  
  29  43    1        0   
  33  41    1        1   
  33  44    1        2   
  34  38    1        3   
  37  47    1        -1  
  39  46    1        3   
  39  49    1        -1  
  39  55    1        -1  
  43  50    1        1   
  48  54    1        0   
  49  58    1        2   
  52  60    1        1   
  53  59    1        3   
  54  69    1        -1  
End
