NMec = 98491
T = 37
P = 8
Profits ignored
Solution time = 2.179e+02
Programing Tasks = 22
Terminal Cases = 10631
Task date  Profit    P
  0   12    1        0   
  0   36    1        1   
  0   46    1        2   
  1   9     1        3   
  1   14    1        4   
  1   16    1        5   
  2   28    1        6   
  3   23    1        7   
  4   20    1        -1  
  4   24    1        -1  
  4   25    1        -1  
  5   36    1        -1  
  9   20    1        -1  
  11  29    1        3   
  12  22    1        -1  
  12  37    1        -1  
  15  24    1        0   
  15  30    1        4   
  15  34    1        -1  
  16  20    1        -1  
  16  34    1        -1  
  16  37    1        -1  
  19  38    1        5   
  19  42    1        -1  
  20  37    1        -1  
  23  43    1        -1  
  26  37    1        0   
  26  40    1        7   
  27  36    1        -1  
  28  40    1        -1  
  28  45    1        -1  
  29  33    1        6   
  29  34    1        -1  
  32  41    1        3   
  40  44    1        0   
  40  45    1        1   
  40  46    1        4   
End
