NMec = 98491
T = 29
P = 2
Profits ignored
Solution time = 2.140e-02
Programing Tasks = 12
Terminal Cases = 10476
Task date  Profit    P
  9   24    1        0   
  11  26    1        1   
  15  23    1        -1  
  21  44    1        -1  
  53  55    1        0   
  56  73    1        0   
  65  85    1        1   
  66  136   1        -1  
  72  86    1        -1  
  74  96    1        0   
  77  104   1        -1  
  81  94    1        -1  
  83  96    1        -1  
  86  111   1        1   
  93  115   1        -1  
  102 118   1        0   
  105 118   1        -1  
  105 122   1        -1  
  107 122   1        -1  
  108 115   1        -1  
  116 131   1        1   
  120 136   1        0   
  121 130   1        -1  
  121 132   1        -1  
  125 137   1        -1  
  125 139   1        -1  
  129 132   1        -1  
  133 144   1        1   
  139 144   1        0   
End
