NMec = 98491
T = 31
P = 4
Profits ignored
Solution time = 7.569e-01
Programing Tasks = 18
Terminal Cases = 934
Task date  Profit    P
  0   12    1        0   
  0   69    1        1   
  0   77    1        2   
  1   25    1        3   
  3   14    1        -1  
  4   20    1        -1  
  8   18    1        -1  
  9   19    1        -1  
  12  26    1        -1  
  15  20    1        0   
  16  25    1        -1  
  20  29    1        -1  
  21  29    1        0   
  22  74    1        -1  
  23  48    1        -1  
  26  48    1        3   
  28  38    1        -1  
  31  50    1        0   
  31  50    1        -1  
  32  43    1        -1  
  33  55    1        -1  
  34  54    1        -1  
  36  43    1        -1  
  36  60    1        -1  
  38  50    1        -1  
  46  55    1        -1  
  50  59    1        3   
  54  62    1        0   
  62  66    1        3   
  63  72    1        0   
  68  77    1        3   
End
