NMec = 98491
T = 33
P = 2
Profits ignored
Solution time = 2.630e+00
Programing Tasks = 19
Terminal Cases = 7000
Task date  Profit    P
  5   11    1        0   
  12  21    1        0   
  14  32    1        1   
  21  35    1        -1  
  21  41    1        -1  
  25  50    1        0   
  38  48    1        1   
  46  58    1        -1  
  47  55    1        -1  
  53  67    1        0   
  61  67    1        1   
  63  78    1        -1  
  69  137   1        0   
  73  87    1        1   
  75  87    1        -1  
  80  89    1        -1  
  82  90    1        -1  
  82  109   1        -1  
  92  96    1        1   
  95  104   1        -1  
  96  111   1        -1  
  98  115   1        1   
  103 115   1        -1  
  112 119   1        -1  
  126 131   1        1   
  126 146   1        -1  
  128 136   1        -1  
  128 142   1        -1  
  133 138   1        1   
  135 139   1        -1  
  139 145   1        0   
  147 153   1        0   
  157 163   1        0   
End
