NMec = 98491
T = 40
P = 4
Profits ignored
Solution time = 3.435e+02
Programing Tasks = 24
Terminal Cases = 15180
Task date  Profit    P
  1   25    1        0   
  2   83    1        1   
  8   22    1        2   
  9   19    1        3   
  10  21    1        -1  
  13  29    1        -1  
  16  33    1        -1  
  20  61    1        3   
  22  61    1        -1  
  24  39    1        2   
  25  87    1        -1  
  27  30    1        0   
  27  40    1        -1  
  28  41    1        -1  
  28  55    1        -1  
  32  41    1        0   
  34  54    1        -1  
  35  40    1        -1  
  35  60    1        -1  
  37  45    1        -1  
  41  48    1        2   
  41  54    1        -1  
  46  52    1        0   
  46  55    1        -1  
  48  68    1        -1  
  49  60    1        2   
  50  57    1        -1  
  56  65    1        0   
  58  65    1        -1  
  62  78    1        2   
  62  79    1        3   
  71  87    1        0   
  72  77    1        -1  
  75  78    1        -1  
  77  82    1        -1  
  78  92    1        -1  
  79  93    1        2   
  79  96    1        -1  
  80  99    1        3   
  86  96    1        1   
End
