NMec = 98491
T = 34
P = 1
Profits ignored
Solution time = 8.454e-03
Programing Tasks = 12
Terminal Cases = 64
Task date  Profit    P
  4   185   1        0   
  18  26    1        -1  
  21  36    1        -1  
  33  46    1        -1  
  40  48    1        -1  
  41  49    1        -1  
  41  111   1        -1  
  47  51    1        -1  
  48  62    1        -1  
  51  77    1        -1  
  60  76    1        -1  
  61  85    1        -1  
  94  213   1        -1  
  96  114   1        -1  
  101 109   1        -1  
  108 135   1        -1  
  121 123   1        -1  
  172 193   1        -1  
  177 200   1        -1  
  182 201   1        -1  
  183 199   1        -1  
  185 213   1        -1  
  187 198   1        0   
  194 203   1        -1  
  198 213   1        -1  
  248 275   1        0   
  250 276   1        -1  
  266 279   1        -1  
  267 284   1        -1  
  288 309   1        0   
  289 314   1        -1  
  295 317   1        -1  
  315 318   1        0   
  320 338   1        0   
End
