NMec = 98491
T = 27
P = 4
Profits ignored
Solution time = 2.161e-02
Programing Tasks = 12
Terminal Cases = 9563
Task date  Profit    P
  8   12    1        0   
  10  29    1        1   
  12  18    1        2   
  13  31    1        0   
  16  43    1        3   
  19  33    1        2   
  20  34    1        -1  
  20  38    1        -1  
  22  35    1        -1  
  22  36    1        -1  
  23  44    1        -1  
  25  31    1        -1  
  27  33    1        -1  
  29  50    1        -1  
  30  44    1        1   
  32  41    1        0   
  32  46    1        -1  
  32  52    1        -1  
  33  42    1        -1  
  33  43    1        -1  
  34  49    1        2   
  37  41    1        -1  
  38  55    1        -1  
  39  54    1        -1  
  41  66    1        -1  
  46  55    1        0   
  50  66    1        1   
End
