NMec = 98491
T = 35
P = 4
Profits ignored
Solution time = 1.269e+01
Programing Tasks = 19
Terminal Cases = 3967
Task date  Profit    P
  3   19    1        0   
  3   23    1        1   
  4   26    1        2   
  5   29    1        3   
  6   23    1        -1  
  9   14    1        -1  
  10  21    1        -1  
  11  28    1        -1  
  15  28    1        -1  
  16  28    1        -1  
  20  40    1        0   
  21  28    1        -1  
  22  34    1        -1  
  27  80    1        1   
  28  36    1        2   
  29  43    1        -1  
  29  77    1        -1  
  30  42    1        3   
  31  44    1        -1  
  33  59    1        -1  
  34  43    1        -1  
  36  56    1        -1  
  39  57    1        2   
  39  61    1        -1  
  41  59    1        0   
  42  48    1        -1  
  43  53    1        3   
  45  53    1        -1  
  46  53    1        -1  
  48  50    1        -1  
  51  61    1        -1  
  62  76    1        0   
  71  87    1        2   
  74  84    1        3   
  76  84    1        -1  
End
