NMec = 98491
T = 40
P = 1
Profits ignored
Solution time = 3.351e-01
Programing Tasks = 18
Terminal Cases = 44
Task date  Profit    P
  5   343   1        0   
  9   14    1        -1  
  18  256   1        -1  
  21  361   1        -1  
  23  30    1        -1  
  29  356   1        -1  
  58  80    1        -1  
  62  78    1        -1  
  70  89    1        -1  
  77  87    1        -1  
  89  102   1        -1  
  90  97    1        -1  
  90  373   1        -1  
  102 110   1        -1  
  103 122   1        -1  
  125 136   1        -1  
  147 152   1        -1  
  152 171   1        -1  
  156 165   1        -1  
  159 171   1        -1  
  159 171   1        -1  
  163 188   1        -1  
  166 171   1        -1  
  171 179   1        -1  
  179 195   1        -1  
  226 237   1        -1  
  229 240   1        -1  
  266 273   1        -1  
  270 274   1        -1  
  270 290   1        -1  
  272 280   1        -1  
  277 284   1        -1  
  304 313   1        -1  
  319 333   1        -1  
  327 348   1        -1  
  344 352   1        0   
  354 379   1        0   
  366 391   1        -1  
  368 385   1        -1  
  384 395   1        0   
End
