NMec = 98491
T = 29
P = 3
Profits ignored
Solution time = 5.901e-02
Programing Tasks = 14
Terminal Cases = 5372
Task date  Profit    P
  0   17    1        0   
  2   45    1        1   
  4   96    1        2   
  8   16    1        -1  
  8   18    1        -1  
  8   25    1        -1  
  12  31    1        -1  
  15  18    1        -1  
  19  32    1        0   
  20  33    1        -1  
  20  94    1        -1  
  22  49    1        -1  
  27  79    1        -1  
  36  58    1        0   
  37  48    1        -1  
  39  43    1        -1  
  40  51    1        -1  
  43  62    1        -1  
  51  76    1        1   
  53  70    1        -1  
  53  73    1        -1  
  60  73    1        0   
  62  69    1        -1  
  64  81    1        -1  
  67  76    1        -1  
  68  81    1        -1  
  71  81    1        -1  
  81  94    1        0   
  84  95    1        1   
End
