NMec = 98491
T = 34
P = 4
Profits ignored
Solution time = 5.063e+01
Programing Tasks = 23
Terminal Cases = 180
Task date  Profit    P
  0   7     1        0   
  1   6     1        1   
  1   13    1        2   
  3   20    1        3   
  6   21    1        -1  
  7   31    1        1   
  7   66    1        -1  
  9   21    1        0   
  11  19    1        -1  
  17  25    1        2   
  17  40    1        -1  
  21  33    1        3   
  22  30    1        0   
  23  43    1        -1  
  24  39    1        -1  
  27  51    1        2   
  34  41    1        0   
  36  48    1        1   
  37  46    1        3   
  43  57    1        0   
  49  55    1        1   
  52  64    1        2   
  52  70    1        3   
  53  55    1        -1  
  54  75    1        -1  
  56  70    1        1   
  59  72    1        0   
  60  71    1        -1  
  63  83    1        -1  
  65  73    1        2   
  66  77    1        -1  
  68  72    1        -1  
  71  80    1        1   
  72  83    1        3   
End
