NMec = 98491
T = 39
P = 6
Profits ignored
Solution time = 2.151e+02
Programing Tasks = 21
Terminal Cases = 200661
Task date  Profit    P
  0   10    1        0   
  0   64    1        1   
  1   13    1        2   
  3   7     1        3   
  7   27    1        4   
  7   30    1        5   
  8   30    1        3   
  9   22    1        -1  
  9   29    1        -1  
  10  21    1        -1  
  16  20    1        0   
  16  57    1        2   
  17  36    1        -1  
  18  27    1        -1  
  20  41    1        -1  
  21  23    1        0   
  21  31    1        -1  
  22  33    1        -1  
  22  40    1        -1  
  22  41    1        -1  
  26  35    1        0   
  28  44    1        4   
  29  41    1        -1  
  31  42    1        3   
  31  48    1        5   
  32  39    1        -1  
  32  43    1        -1  
  33  45    1        -1  
  33  51    1        -1  
  34  57    1        -1  
  34  63    1        -1  
  35  57    1        -1  
  38  43    1        0   
  39  54    1        -1  
  40  41    1        -1  
  40  55    1        -1  
  41  50    1        -1  
  46  56    1        0   
  49  62    1        3   
End
