NMec = 98491
T = 37
P = 4
Profits ignored
Solution time = 8.815e+01
Programing Tasks = 22
Terminal Cases = 15216
Task date  Profit    P
  2   14    1        0   
  5   21    1        1   
  5   45    1        2   
  6   9     1        3   
  8   91    1        -1  
  13  67    1        3   
  14  15    1        -1  
  15  27    1        0   
  17  33    1        -1  
  18  39    1        -1  
  23  30    1        1   
  25  37    1        -1  
  26  46    1        -1  
  27  30    1        -1  
  33  41    1        0   
  35  42    1        1   
  35  45    1        -1  
  36  39    1        -1  
  38  54    1        -1  
  40  44    1        -1  
  41  55    1        -1  
  50  79    1        0   
  51  73    1        1   
  51  80    1        2   
  52  60    1        -1  
  54  71    1        -1  
  55  59    1        -1  
  55  60    1        -1  
  55  62    1        -1  
  55  69    1        -1  
  55  74    1        -1  
  77  89    1        1   
  78  87    1        3   
  79  82    1        -1  
  83  90    1        0   
  86  90    1        2   
  86  92    1        -1  
End
