NMec = 98491
T = 38
P = 7
Profits ignored
Solution time = 5.481e+02
Programing Tasks = 24
Terminal Cases = 5194
Task date  Profit    P
  0   10    1        0   
  0   10    1        1   
  0   15    1        2   
  0   20    1        3   
  1   14    1        4   
  1   19    1        5   
  2   12    1        6   
  3   39    1        -1  
  3   49    1        -1  
  4   26    1        -1  
  5   8     1        -1  
  5   14    1        -1  
  6   30    1        -1  
  7   23    1        -1  
  8   22    1        -1  
  10  30    1        -1  
  11  29    1        0   
  11  33    1        1   
  12  14    1        -1  
  12  20    1        -1  
  17  39    1        2   
  21  29    1        3   
  21  42    1        4   
  22  25    1        5   
  22  28    1        6   
  23  43    1        -1  
  24  32    1        -1  
  25  34    1        -1  
  25  46    1        -1  
  27  42    1        5   
  30  47    1        0   
  30  54    1        3   
  32  51    1        6   
  33  51    1        -1  
  34  46    1        1   
  36  43    1        -1  
  43  44    1        2   
  46  54    1        2   
End
