NMec = 98491
T = 31
P = 3
Profits ignored
Solution time = 7.533e-01
Programing Tasks = 19
Terminal Cases = 57
Task date  Profit    P
  0   8     1        0   
  0   10    1        1   
  2   11    1        2   
  10  15    1        0   
  10  22    1        -1  
  12  37    1        1   
  13  22    1        2   
  13  29    1        -1  
  13  35    1        -1  
  15  38    1        -1  
  19  37    1        0   
  20  34    1        -1  
  22  25    1        -1  
  27  33    1        2   
  27  49    1        -1  
  30  32    1        -1  
  30  47    1        -1  
  35  44    1        2   
  35  89    1        -1  
  37  53    1        -1  
  40  42    1        0   
  51  64    1        0   
  60  69    1        1   
  62  79    1        2   
  64  76    1        -1  
  64  82    1        -1  
  70  80    1        0   
  70  87    1        1   
  75  87    1        -1  
  79  89    1        -1  
  90  103   1        0   
End
