NMec = 98491
T = 27
P = 8
Profits ignored
Solution time = 6.785e-01
Programing Tasks = 20
Terminal Cases = 16
Task date  Profit    P
  0   5     1        0   
  0   9     1        1   
  0   21    1        2   
  2   13    1        3   
  3   10    1        4   
  3   25    1        5   
  4   12    1        6   
  5   22    1        7   
  5   23    1        -1  
  6   15    1        0   
  6   27    1        -1  
  8   14    1        -1  
  8   15    1        -1  
  10  26    1        1   
  10  33    1        -1  
  12  20    1        4   
  13  18    1        6   
  13  21    1        -1  
  13  32    1        -1  
  15  26    1        3   
  15  27    1        -1  
  16  33    1        0   
  19  27    1        6   
  22  31    1        2   
  23  33    1        4   
  25  28    1        7   
  26  31    1        5   
End
