NMec = 98491
T = 34
P = 3
Profits ignored
Solution time = 6.555e+00
Programing Tasks = 21
Terminal Cases = 222
Task date  Profit    P
  5   101   1        0   
  8   27    1        1   
  9   34    1        2   
  13  18    1        -1  
  21  25    1        -1  
  28  45    1        1   
  29  40    1        -1  
  34  68    1        -1  
  36  54    1        2   
  37  56    1        -1  
  41  52    1        -1  
  41  59    1        -1  
  49  62    1        1   
  51  64    1        -1  
  52  75    1        -1  
  54  80    1        -1  
  57  69    1        2   
  59  66    1        -1  
  62  77    1        -1  
  62  87    1        -1  
  64  68    1        1   
  73  80    1        1   
  75  83    1        2   
  76  90    1        -1  
  79  80    1        -1  
  80  86    1        -1  
  80  101   1        -1  
  83  91    1        1   
  84  88    1        2   
  92  106   1        1   
  94  101   1        2   
  95  113   1        -1  
  98  106   1        -1  
  102 113   1        0   
End
