NMec = 98491
T = 40
P = 6
Profits ignored
Solution time = 1.147e+03
Programing Tasks = 24
Terminal Cases = 25764
Task date  Profit    P
  0   10    1        0   
  0   21    1        1   
  0   46    1        2   
  1   10    1        3   
  1   27    1        4   
  2   25    1        5   
  4   21    1        -1  
  6   28    1        -1  
  8   14    1        -1  
  9   20    1        -1  
  11  12    1        0   
  11  61    1        3   
  13  35    1        0   
  15  39    1        -1  
  17  28    1        -1  
  18  31    1        -1  
  19  24    1        -1  
  19  31    1        -1  
  19  38    1        -1  
  22  28    1        1   
  25  38    1        -1  
  25  43    1        -1  
  26  47    1        5   
  29  47    1        1   
  30  35    1        4   
  31  55    1        -1  
  35  52    1        -1  
  37  49    1        0   
  37  52    1        4   
  39  58    1        -1  
  40  50    1        -1  
  41  47    1        -1  
  41  54    1        -1  
  42  57    1        -1  
  45  58    1        -1  
  47  60    1        2   
  48  62    1        1   
  54  61    1        0   
  54  62    1        4   
  54  66    1        5   
End
