NMec = 98491
T = 16
P = 7
Profits not ignored
Solution time = 6.911e-04
Best Profit = 28772
Terminal Cases = 58895
Task date  Profit    P
  0   14    2259     -1  
  2   6     1115     -1  
  3   7     611      -1  
  4   10    496      -1  
  4   13    1177     -1  
  4   20    2378     -1  
  5   14    1186     -1  
  5   28    2945     -1  
  6   20    4184     -1  
  7   14    1703     -1  
  7   18    1962     -1  
  9   29    4814     -1  
  12  27    4030     -1  
  15  22    1477     -1  
  17  23    1021     -1  
  17  29    2760     -1  
End
