NMec = 98491
T = 26
P = 6
Profits not ignored
Solution time = 7.994e-02
Best Profit = 31114
Terminal Cases = 9141324
Task date  Profit    P
  1   16    1809     -1  
  1   22    3085     -1  
  1   43    3909     -1  
  4   7     413      -1  
  5   14    2868     -1  
  6   18    2295     -1  
  6   19    2716     -1  
  10  35    2554     -1  
  12  19    1121     -1  
  13  32    4203     -1  
  14  33    2452     -1  
  15  28    2062     -1  
  16  28    2255     -1  
  17  22    1731     -1  
  17  22    1070     -1  
  17  26    1022     -1  
  17  30    1466     -1  
  17  41    3609     -1  
  19  35    2194     -1  
  21  29    1299     -1  
  22  24    757      -1  
  22  28    658      -1  
  23  36    1488     -1  
  23  43    3072     -1  
  29  31    291      -1  
  41  43    332      -1  
End
