NMec = 98491
T = 26
P = 5
Profits not ignored
Solution time = 6.120e-02
Best Profit = 36273
Terminal Cases = 6663188
Task date  Profit    P
  0   17    3444     -1  
  1   15    1188     -1  
  2   19    1971     -1  
  2   47    5108     -1  
  2   51    3876     -1  
  3   19    2119     -1  
  6   10    1424     -1  
  7   17    1278     -1  
  8   21    1044     -1  
  11  24    2476     -1  
  12  21    1121     -1  
  13  26    2471     -1  
  13  35    1404     -1  
  15  36    3580     -1  
  16  29    2870     -1  
  18  31    1900     -1  
  19  41    2227     -1  
  19  50    4708     -1  
  23  33    1082     -1  
  26  28    340      -1  
  26  51    4456     -1  
  27  31    606      -1  
  32  44    1645     -1  
  33  50    4055     -1  
  37  47    2255     -1  
  45  50    994      -1  
End
