NMec = 98491
T = 24
P = 4
Profits not ignored
Solution time = 2.157e-02
Best Profit = 30068
Terminal Cases = 2202756
Task date  Profit    P
  4   13    1566     0   
  7   10    367      1   
  7   31    4224     2   
  13  57    5799     1   
  19  23    1163     0   
  20  31    1579     3   
  20  37    2623     -1  
  20  37    4195     -1  
  20  44    2984     -1  
  24  37    1359     0   
  25  41    3129     -1  
  27  35    1899     -1  
  28  37    889      -1  
  29  36    1871     -1  
  31  46    1587     -1  
  36  45    2013     2   
  39  54    3706     0   
  40  45    874      3   
  40  50    1054     -1  
  43  52    1479     -1  
  46  56    1645     2   
  49  52    555      3   
  52  54    327      -1  
  53  57    782      3   
End
