NMec = 98491
T = 38
P = 5
Profits not ignored
Solution time = 1.045e+02
Best Profit = 60199
Terminal Cases = 9157057348
Task date  Profit    P
  1   18    3963     0   
  1   65    8683     1   
  3   12    911      2   
  4   51    4528     3   
  6   27    4729     4   
  6   73    5818     -1  
  8   22    2619     -1  
  15  23    1169     2   
  16  28    1227     -1  
  17  22    1174     -1  
  17  58    10813    -1  
  18  29    1900     -1  
  18  31    3336     -1  
  19  31    1235     0   
  21  40    4971     -1  
  23  50    4060     -1  
  24  35    1655     2   
  26  28    490      -1  
  27  33    679      -1  
  27  38    1007     -1  
  29  36    1053     4   
  29  49    4143     -1  
  30  39    1513     -1  
  33  42    977      0   
  36  43    764      2   
  39  48    1286     4   
  39  56    1781     -1  
  40  50    2182     -1  
  45  71    4709     0   
  47  65    2827     2   
  48  60    1707     -1  
  50  68    2762     4   
  53  62    2255     3   
  56  61    822      -1  
  58  72    2078     -1  
  59  73    1377     -1  
  66  74    2280     1   
  68  75    1799     2   
End
