NMec = 98629
T = 33
P = 7
Profits ignored
Solution time = 1.199e+01
Programing Tasks = 20
Terminal Cases = 12330
Task date  Profit    P
  0   7     1        0   
  0   23    1        1   
  0   40    1        2   
  0   42    1        3   
  3   6     1        4   
  6   30    1        5   
  8   13    1        0   
  10  16    1        4   
  10  21    1        6   
  11  27    1        -1  
  13  47    1        -1  
  15  18    1        0   
  15  27    1        -1  
  16  26    1        -1  
  16  27    1        -1  
  18  31    1        4   
  19  34    1        0   
  19  35    1        -1  
  20  27    1        -1  
  20  31    1        -1  
  22  24    1        6   
  22  29    1        -1  
  22  31    1        -1  
  22  44    1        -1  
  23  27    1        -1  
  24  43    1        1   
  26  38    1        6   
  28  39    1        -1  
  29  37    1        -1  
  31  42    1        5   
  36  41    1        0   
  36  43    1        4   
  36  47    1        -1  
End
