NMec = 98629
T = 27
P = 6
Profits ignored
Solution time = 2.839e-01
Programing Tasks = 17
Terminal Cases = 1352
Task date  Profit    P
  0   17    1        0   
  1   8     1        1   
  2   25    1        2   
  4   10    1        3   
  4   12    1        4   
  4   24    1        5   
  5   11    1        -1  
  7   15    1        -1  
  8   18    1        -1  
  8   30    1        -1  
  9   17    1        1   
  9   17    1        -1  
  12  16    1        3   
  12  23    1        -1  
  14  24    1        4   
  14  33    1        -1  
  15  17    1        -1  
  15  32    1        -1  
  16  35    1        -1  
  20  33    1        0   
  21  32    1        1   
  22  43    1        3   
  23  28    1        -1  
  26  34    1        2   
  26  39    1        4   
  27  38    1        5   
  35  44    1        0   
End
