NMec = 98629
T = 37
P = 4
Profits ignored
Solution time = 7.062e+00
Programing Tasks = 20
Terminal Cases = 249
Task date  Profit    P
  1   22    1        0   
  1   35    1        1   
  1   83    1        2   
  1   88    1        3   
  2   13    1        -1  
  3   28    1        -1  
  3   67    1        -1  
  4   15    1        -1  
  4   17    1        -1  
  7   87    1        -1  
  8   12    1        -1  
  8   14    1        -1  
  8   28    1        -1  
  10  21    1        -1  
  10  30    1        -1  
  11  12    1        -1  
  15  24    1        -1  
  15  26    1        -1  
  15  35    1        -1  
  27  69    1        0   
  28  46    1        -1  
  29  38    1        -1  
  30  36    1        -1  
  34  49    1        -1  
  37  49    1        1   
  40  53    1        -1  
  43  50    1        -1  
  43  86    1        -1  
  44  55    1        -1  
  46  60    1        -1  
  51  67    1        1   
  58  70    1        -1  
  58  81    1        -1  
  59  82    1        -1  
  71  77    1        0   
  76  90    1        1   
  82  89    1        0   
End
