NMec = 98629
T = 29
P = 2
Profits ignored
Solution time = 1.499e-01
Programing Tasks = 18
Terminal Cases = 252
Task date  Profit    P
  0   8     1        0   
  0   16    1        1   
  4   113   1        -1  
  5   40    1        -1  
  7   14    1        -1  
  10  18    1        0   
  12  33    1        -1  
  20  46    1        0   
  24  26    1        1   
  30  42    1        1   
  31  39    1        -1  
  42  53    1        -1  
  48  62    1        0   
  54  59    1        1   
  69  97    1        0   
  70  73    1        1   
  77  86    1        1   
  90  94    1        1   
  91  95    1        -1  
  92  109   1        -1  
  102 105   1        0   
  102 113   1        1   
  103 107   1        -1  
  106 120   1        0   
  111 136   1        -1  
  113 131   1        -1  
  114 120   1        1   
  115 123   1        -1  
  127 134   1        0   
End
