NMec = 98629
T = 31
P = 4
Profits ignored
Solution time = 1.724e+00
Programing Tasks = 20
Terminal Cases = 36
Task date  Profit    P
  1   17    1        0   
  1   77    1        1   
  3   12    1        2   
  5   24    1        3   
  6   15    1        -1  
  11  21    1        -1  
  12  26    1        -1  
  14  66    1        2   
  18  34    1        0   
  21  24    1        -1  
  22  35    1        -1  
  23  33    1        -1  
  24  30    1        -1  
  25  39    1        3   
  30  43    1        -1  
  33  43    1        -1  
  35  60    1        0   
  36  51    1        -1  
  45  55    1        3   
  45  67    1        -1  
  47  75    1        -1  
  50  73    1        -1  
  55  56    1        -1  
  57  61    1        3   
  57  69    1        -1  
  57  76    1        -1  
  58  63    1        -1  
  59  67    1        -1  
  61  74    1        0   
  67  71    1        2   
  67  71    1        3   
End
