NMec = 98629
T = 29
P = 7
Profits ignored
Solution time = 3.708e-01
Programing Tasks = 15
Terminal Cases = 1097
Task date  Profit    P
  1   12    1        0   
  2   10    1        1   
  3   18    1        2   
  4   10    1        3   
  4   18    1        4   
  4   18    1        5   
  5   13    1        6   
  5   16    1        -1  
  5   32    1        -1  
  6   23    1        -1  
  6   31    1        -1  
  6   39    1        -1  
  7   25    1        -1  
  7   41    1        -1  
  8   20    1        -1  
  8   26    1        -1  
  9   21    1        -1  
  9   25    1        -1  
  10  27    1        -1  
  11  22    1        1   
  12  25    1        3   
  17  27    1        0   
  17  32    1        6   
  18  35    1        -1  
  19  29    1        2   
  19  38    1        4   
  21  40    1        5   
  22  27    1        -1  
  23  30    1        1   
End
