NMec = 98629
T = 29
P = 8
Profits ignored
Solution time = 2.082e+00
Programing Tasks = 21
Terminal Cases = 60
Task date  Profit    P
  0   13    1        0   
  1   15    1        1   
  1   24    1        2   
  3   6     1        3   
  3   14    1        4   
  4   18    1        5   
  4   21    1        6   
  5   14    1        7   
  5   33    1        -1  
  7   22    1        3   
  8   20    1        -1  
  8   28    1        -1  
  10  21    1        -1  
  11  32    1        -1  
  12  19    1        -1  
  12  27    1        -1  
  12  32    1        -1  
  14  16    1        0   
  15  22    1        4   
  17  31    1        0   
  18  29    1        1   
  19  33    1        5   
  20  28    1        7   
  22  33    1        6   
  23  33    1        3   
  25  26    1        2   
  26  36    1        4   
  28  29    1        2   
  29  36    1        7   
End
