NMec = 98629
T = 32
P = 3
Profits ignored
Solution time = 1.944e-01
Programing Tasks = 17
Terminal Cases = 724
Task date  Profit    P
  1   106   1        0   
  2   9     1        1   
  4   27    1        2   
  11  21    1        1   
  11  105   1        -1  
  13  99    1        -1  
  25  101   1        1   
  26  47    1        -1  
  32  44    1        2   
  35  44    1        -1  
  36  54    1        -1  
  41  58    1        -1  
  41  81    1        -1  
  47  66    1        2   
  49  70    1        -1  
  53  67    1        -1  
  54  70    1        -1  
  57  76    1        -1  
  64  73    1        -1  
  67  85    1        2   
  68  76    1        -1  
  69  90    1        -1  
  72  95    1        -1  
  74  96    1        -1  
  76  84    1        -1  
  78  81    1        -1  
  79  85    1        -1  
  81  92    1        -1  
  86  94    1        2   
  87  96    1        -1  
  96  102   1        2   
  98  103   1        -1  
End
