NMec = 98629
T = 39
P = 2
Profits ignored
Solution time = 1.191e+01
Programing Tasks = 24
Terminal Cases = 42
Task date  Profit    P
  5   192   1        0   
  15  22    1        1   
  20  21    1        -1  
  20  33    1        -1  
  20  120   1        -1  
  21  36    1        -1  
  23  33    1        1   
  23  44    1        -1  
  24  49    1        -1  
  24  162   1        -1  
  36  102   1        1   
  45  54    1        -1  
  46  56    1        -1  
  54  62    1        -1  
  54  185   1        -1  
  62  78    1        -1  
  66  70    1        -1  
  68  96    1        -1  
  73  82    1        -1  
  81  92    1        -1  
  86  91    1        -1  
  88  104   1        -1  
  91  93    1        -1  
  106 117   1        1   
  108 111   1        -1  
  115 120   1        -1  
  121 122   1        1   
  129 133   1        1   
  131 138   1        -1  
  132 145   1        -1  
  138 147   1        1   
  140 155   1        -1  
  154 176   1        1   
  157 170   1        -1  
  161 183   1        -1  
  166 182   1        -1  
  172 184   1        -1  
  178 191   1        1   
  186 194   1        -1  
End
