NMec = 98629
T = 39
P = 3
Profits ignored
Solution time = 4.514e+01
Programing Tasks = 23
Terminal Cases = 456
Task date  Profit    P
  7   14    1        0   
  9   14    1        1   
  14  30    1        2   
  17  22    1        0   
  19  95    1        1   
  28  40    1        0   
  29  51    1        -1  
  31  32    1        2   
  31  45    1        -1  
  35  47    1        2   
  35  81    1        -1  
  39  60    1        -1  
  40  90    1        -1  
  44  58    1        0   
  44  67    1        -1  
  48  76    1        2   
  49  67    1        -1  
  53  59    1        -1  
  53  60    1        -1  
  55  105   1        -1  
  60  69    1        0   
  62  78    1        -1  
  63  85    1        -1  
  70  78    1        0   
  79  90    1        0   
  81  98    1        2   
  85  99    1        -1  
  91  95    1        0   
  97  106   1        0   
  102 121   1        1   
  103 119   1        2   
  104 110   1        -1  
  104 119   1        -1  
  104 122   1        -1  
  106 117   1        -1  
  106 125   1        -1  
  110 115   1        0   
  113 117   1        -1  
  113 125   1        -1  
End
