NMec = 98629
T = 32
P = 2
Profits ignored
Solution time = 1.258e-01
Programing Tasks = 16
Terminal Cases = 270
Task date  Profit    P
  0   17    1        0   
  3   25    1        1   
  8   71    1        -1  
  14  26    1        -1  
  14  158   1        -1  
  15  22    1        -1  
  21  28    1        0   
  28  45    1        1   
  37  57    1        0   
  37  62    1        -1  
  43  57    1        -1  
  52  62    1        1   
  55  67    1        -1  
  56  72    1        -1  
  59  156   1        0   
  61  68    1        -1  
  61  81    1        -1  
  67  76    1        1   
  73  77    1        -1  
  96  102   1        1   
  100 110   1        -1  
  100 113   1        -1  
  104 118   1        1   
  106 120   1        -1  
  123 147   1        1   
  124 136   1        -1  
  125 147   1        -1  
  127 135   1        -1  
  132 143   1        -1  
  138 148   1        -1  
  144 154   1        -1  
  147 154   1        -1  
End
