NMec = 98629
T = 35
P = 3
Profits ignored
Solution time = 5.540e+00
Programing Tasks = 20
Terminal Cases = 3108
Task date  Profit    P
  1   47    1        0   
  1   112   1        1   
  5   10    1        2   
  5   69    1        -1  
  11  26    1        2   
  12  28    1        -1  
  15  101   1        -1  
  16  26    1        -1  
  16  30    1        -1  
  18  22    1        -1  
  28  34    1        2   
  29  30    1        -1  
  30  39    1        -1  
  33  46    1        -1  
  37  106   1        2   
  42  50    1        -1  
  52  60    1        0   
  60  78    1        -1  
  63  76    1        0   
  64  70    1        -1  
  65  80    1        -1  
  67  79    1        -1  
  71  81    1        -1  
  73  91    1        -1  
  75  92    1        -1  
  86  91    1        0   
  89  101   1        -1  
  92  100   1        0   
  92  111   1        -1  
  93  95    1        -1  
  95  103   1        -1  
  96  110   1        -1  
  96  113   1        -1  
  97  105   1        -1  
  104 113   1        0   
End
