NMec = 98629
T = 31
P = 7
Profits ignored
Solution time = 2.197e+00
Programing Tasks = 19
Terminal Cases = 338
Task date  Profit    P
  0   31    1        0   
  3   15    1        1   
  3   44    1        2   
  4   17    1        3   
  4   19    1        4   
  4   41    1        5   
  6   13    1        6   
  7   29    1        -1  
  8   18    1        -1  
  8   28    1        -1  
  9   14    1        -1  
  10  27    1        -1  
  10  41    1        -1  
  11  28    1        -1  
  13  33    1        -1  
  14  21    1        6   
  14  39    1        -1  
  15  31    1        -1  
  15  33    1        -1  
  20  24    1        1   
  21  28    1        3   
  21  34    1        4   
  22  42    1        6   
  23  29    1        -1  
  23  35    1        -1  
  27  34    1        1   
  27  38    1        -1  
  30  40    1        3   
  30  44    1        -1  
  38  44    1        0   
  42  43    1        1   
End
