NMec = 98629
T = 32
P = 8
Profits ignored
Solution time = 2.940e+00
Programing Tasks = 17
Terminal Cases = 280
Task date  Profit    P
  1   37    1        0   
  3   9     1        1   
  3   15    1        2   
  3   17    1        3   
  3   33    1        4   
  4   34    1        5   
  5   10    1        6   
  5   15    1        7   
  5   19    1        -1  
  5   22    1        -1  
  5   28    1        -1  
  6   27    1        -1  
  7   31    1        -1  
  8   32    1        -1  
  9   30    1        -1  
  9   39    1        -1  
  10  39    1        1   
  11  21    1        6   
  11  26    1        -1  
  11  34    1        -1  
  12  20    1        -1  
  15  23    1        -1  
  15  29    1        -1  
  16  27    1        2   
  16  30    1        7   
  18  31    1        3   
  19  28    1        -1  
  19  33    1        -1  
  20  30    1        -1  
  21  29    1        -1  
  22  32    1        6   
  24  36    1        -1  
End
