NMec = 98629
T = 34
P = 2
Profits ignored
Solution time = 9.008e-02
Programing Tasks = 16
Terminal Cases = 1485
Task date  Profit    P
  0   134   1        0   
  1   13    1        1   
  1   162   1        -1  
  4   9     1        -1  
  4   153   1        -1  
  27  153   1        1   
  34  123   1        -1  
  38  50    1        -1  
  42  62    1        -1  
  43  54    1        -1  
  44  51    1        -1  
  51  73    1        -1  
  62  80    1        -1  
  64  81    1        -1  
  83  94    1        -1  
  84  88    1        -1  
  88  101   1        -1  
  91  159   1        -1  
  96  98    1        -1  
  96  107   1        -1  
  97  107   1        -1  
  99  112   1        -1  
  99  120   1        -1  
  101 105   1        -1  
  101 109   1        -1  
  103 107   1        -1  
  108 126   1        -1  
  109 125   1        -1  
  115 140   1        -1  
  122 130   1        -1  
  125 132   1        -1  
  133 147   1        -1  
  138 140   1        0   
  144 159   1        0   
End
